TCK	SDE	TRT	SYM	MKT	PRC	DTP	SIZ	VAL	BRK	MBR	ACC	ACT	GRP	ORD	UID	BNK	BKA	STD	DIN	FST	CLT	GRS	FAL	ALD	EXT	STY	REF	STS	SSL	OTK	CLC	LQI	IAC	ORF	TAC	TDV	ETK	TTY	CYL	OSQ	NEG	ALG
16844903	1	2018-11-07 14:15:14.45	SIF5	REGS	2.130000	2.130000	10	21.300000	K8	K8	4848008	1	0	39552110	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031082		4848008	XBSE		REG	0	248094323	A	N
16844930	1	2018-11-07 14:21:02.294	DIGI	REGS	30.150000	30.150000	12	361.800000	K8	K8	4848008	1	0	39552153	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032062		4848008	XBSE		REG	0	248096276	A	N
16844947	1	2018-11-07 14:27:59.437	ALU	REGS	0.745000	0.745000	299	222.755000	K8	K8	4848008	1	0	39544677	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032654		4848008	XBSE		REG	0	248098637	A	N
16844950	1	2018-11-07 14:28:09.638	BVB	REGS	23.700000	23.700000	22	521.400000	K8	K8	4848008	1	0	39542467	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	2	1032056		4848008	XBSE		REG	0	248098664	A	N
16844953	1	2018-11-07 14:28:56.978	ALU	REGS	0.745000	0.745000	500	372.500000	K8	K8	4848008	1	0	39552198	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032654		4848008	XBSE		REG	0	248098894	A	N
16845043	1	2018-11-07 14:57:56.871	SIF1	REGS	2.450000	2.450000	1956	4792.200000	K8	K8	4848008	1	0	39552334	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1027170		4848008	XBSE		REG	0	248111014	A	N
16845055	2	2018-11-07 15:03:42.489	SNN	REGS	7.980000	7.980000	1500	11970.000000	K8	K8	4848008	1	0	39551918	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1030847		4848008	XBSE		REG	0	248113978	A	N
16845059	2	2018-11-07 15:04:53.58	SNN	REGS	7.980000	7.980000	2500	19950.000000	K8	K8	4848008	1	0	39551918	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1030847		4848008	XBSE		REG	0	248114652	A	N
16845062	1	2018-11-07 15:05:47.851	SIF5	REGS	2.130000	2.130000	10	21.300000	K8	K8	4848008	1	0	39552378	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031082		4848008	XBSE		REG	0	248115054	A	N
16845066	2	2018-11-07 15:07:03.627	SNN	REGS	7.980000	7.980000	62	494.760000	K8	K8	4848008	1	0	39551918	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1030847		4848008	XBSE		REG	0	248115526	A	N
16845126	2	2018-11-07 15:25:36.257	SNN	REGS	7.980000	7.980000	70	558.600000	K8	K8	4848008	1	0	39551918	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1030847		4848008	XBSE		REG	0	248123274	A	N
16845128	2	2018-11-07 15:26:14.955	SNN	REGS	7.980000	7.980000	5	39.900000	K8	K8	4848008	1	0	39551918	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1030847		4848008	XBSE		REG	0	248123505	A	N
16845134	2	2018-11-07 15:27:17.175	SNN	REGS	7.980000	7.980000	1500	11970.000000	K8	K8	4848008	1	0	39551918	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1030847		4848008	XBSE		REG	0	248124095	A	N
16845135	2	2018-11-07 15:27:28.348	SNN	REGS	7.980000	7.980000	1500	11970.000000	K8	K8	4848008	1	0	39551918	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1030847		4848008	XBSE		REG	0	248124177	A	N
16845147	2	2018-11-07 15:31:18.895	SNN	REGS	7.980000	7.980000	8	63.840000	K8	K8	4848008	1	0	39551918	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1030847		4848008	XBSE		REG	0	248125976	A	N
16845153	1	2018-11-07 15:31:53.849	EBSPTS34	RGSP	19.680000	19.680000	200	3936.000000	K8	K8	4848008	1	0	39552837	UK8GW3			20181109	0	0	0	0	0	0	0	STR-PRD		1	0	0	RON	1	1031634		4848008	XBSE		REG	0	248126266	A	Y
